ENTIDAD,ENE-2023,FEB-2023,MAR-2023,ABR-2023,MAY-2023,JUN-2023,JUL-2023,AGO-2023,SEP-2023,OCT-2023,NOV-2023,DIC-2023,ANUAL-2023,ENE-2022,FEB-2022,MAR-2022,ABR-2022,MAY-2022,JUN-2022,JUL-2022,AGO-2022,SEP-2022,OCT-2022,NOV-2022,DIC-2022,ANUAL-2022,ENE-2021,FEB-2021,MAR-2021,ABR-2021,MAY-2021,JUN-2021,JUL-2021,AGO-2021,SEP-2021,OCT-2021,NOV-2021,DIC-2021,ANUAL-2021,ENE-2020,FEB-2020,MAR-2020,ABR-2020,MAY-2020,JUN-2020,JUL-2020,AGO-2020,SEP-2020,OCT-2020,NOV-2020,DIC-2020,ANUAL-2020,ENE-2019,FEB-2019,MAR-2019,ABR-2019,MAY-2019,JUN-2019,JUL-2019,AGO-2019,SEP-2019,OCT-2019,NOV-2019,DIC-2019,ANUAL-2019,ENE-2018,FEB-2018,MAR-2018,ABR-2018,MAY-2018,JUN-2018,JUL-2018,AGO-2018,SEP-2018,OCT-2018,NOV-2018,DIC-2018,ANUAL-2018,ENE-2017,FEB-2017,MAR-2017,ABR-2017,MAY-2017,JUN-2017,JUL-2017,AGO-2017,SEP-2017,OCT-2017,NOV-2017,DIC-2017,ANUAL-2017,ENE-2016,FEB-2016,MAR-2016,ABR-2016,MAY-2016,JUN-2016,JUL-2016,AGO-2016,SEP-2016,OCT-2016,NOV-2016,DIC-2016,ANUAL-2016,ENE-2015,FEB-2015,MAR-2015,ABR-2015,MAY-2015,JUN-2015,JUL-2015,AGO-2015,SEP-2015,OCT-2015,NOV-2015,DIC-2015,ANUAL-2015,ENE-2014,FEB-2014,MAR-2014,ABR-2014,MAY-2014,JUN-2014,JUL-2014,AGO-2014,SEP-2014,OCT-2014,NOV-2014,DIC-2014,ANUAL-2014,ENE-2013,FEB-2013,MAR-2013,ABR-2013,MAY-2013,JUN-2013,JUL-2013,AGO-2013,SEP-2013,OCT-2013,NOV-2013,DIC-2013,ANUAL-2013,ENE-2012,FEB-2012,MAR-2012,ABR-2012,MAY-2012,JUN-2012,JUL-2012,AGO-2012,SEP-2012,OCT-2012,NOV-2012,DIC-2012,ANUAL-2012,ENE-2011,FEB-2011,MAR-2011,ABR-2011,MAY-2011,JUN-2011,JUL-2011,AGO-2011,SEP-2011,OCT-2011,NOV-2011,DIC-2011,ANUAL-2011,ENE-2010,FEB-2010,MAR-2010,ABR-2010,MAY-2010,JUN-2010,JUL-2010,AGO-2010,SEP-2010,OCT-2010,NOV-2010,DIC-2010,ANUAL-2010
Aguascalientes,0.0 ,0.0 ,0.1 ,1.0 ,9.6 ,6.7 ,75.9 ,82.7 ,12.9 ,67.7 ,53.9 ,43.1 ,353.5 ,1.0 ,3.9 ,0.0 ,15.3 ,6.5 ,39.2 ,92.6 ,123.6 ,53.5 ,48.0 ,6.0 ,0.2 ,389.8 ,6.2 ,0.0 ,0.0 ,1.9 ,22.7 ,124.1 ,176.6 ,117.5 ,185.5 ,36.6 ,0.2 ,1.1 ,672.3 ,38.5 ,28.4 ,1.5 ,4.6 ,17.3 ,72.6 ,162.8 ,77.3 ,81.9 ,4.5 ,0.0 ,8.9 ,498.1 ,11.3 ,0.0 ,0.4 ,0.0 ,2.5 ,45.7 ,101.3 ,123.4 ,78.1 ,40.5 ,33.7 ,16.2 ,453.1 ,35.5 ,28.6 ,0.0 ,10.6 ,44.7 ,226.2 ,77.7 ,97.3 ,123.1 ,83.3 ,40.5 ,1.2 ,768.7 ,0.4 ,2.1 ,6.7 ,0.4 ,4.2 ,43.5 ,169.3 ,143.8 ,159.5 ,21.8 ,0.1 ,27.6 ,579.4 ,4.4 ,9.6 ,12.7 ,1.7 ,6.3 ,71.0 ,172.7 ,193.6 ,62.0 ,8.7 ,30.1 ,2.1 ,574.9 ,7.1 ,32.7 ,90.8 ,8.4 ,31.7 ,202.8 ,148.0 ,93.2 ,83.4 ,106.6 ,8.3 ,23.7 ,836.7 ,5.8 ,0.3 ,2.2 ,0.4 ,56.0 ,119.6 ,103.7 ,92.0 ,93.3 ,33.5 ,22.2 ,5.7 ,534.7 ,51.6 ,0.0 ,0.4 ,0.2 ,18.9 ,75.4 ,205.7 ,80.1 ,154.3 ,45.3 ,35.2 ,89.3 ,756.4 ,11.1 ,51.9 ,1.1 ,0.0 ,5.4 ,60.0 ,144.5 ,89.4 ,64.6 ,6.4 ,4.2 ,9.1 ,447.7 ,0.5 ,0.0 ,0.0 ,0.4 ,0.5 ,48.1 ,32.4 ,58.6 ,90.6 ,25.6 ,1.1 ,0.0 ,257.8 ,32.7 ,109.0 ,0.0 ,0.6 ,5.3 ,56.4 ,138.7 ,70.6 ,77.6 ,2.2 ,0.0 ,0.0 ,493.1 
Baja-California,32.7 ,20.2 ,24.5 ,0.0 ,0.4 ,0.2 ,2.4 ,40.1 ,1.7 ,1.3 ,11.1 ,12.8 ,147.5 ,1.4 ,8.7 ,13.8 ,0.7 ,0.0 ,0.0 ,2.9 ,15.3 ,54.9 ,4.0 ,6.6 ,15.4 ,123.7 ,26.8 ,1.3 ,14.1 ,1.4 ,0.0 ,0.2 ,3.0 ,7.5 ,3.8 ,3.0 ,0.7 ,37.3 ,99.1 ,4.3 ,10.5 ,62.4 ,11.8 ,0.6 ,0.0 ,1.1 ,0.5 ,1.1 ,0.5 ,3.9 ,6.9 ,103.5 ,17.8 ,49.5 ,13.4 ,1.2 ,5.6 ,0.0 ,5.1 ,3.0 ,14.0 ,1.9 ,53.1 ,41.6 ,206.1 ,14.4 ,12.8 ,4.8 ,0.3 ,0.4 ,0.6 ,3.9 ,5.5 ,7.5 ,40.7 ,9.9 ,24.7 ,125.3 ,53.6 ,44.9 ,1.4 ,0.0 ,7.9 ,0.2 ,2.9 ,7.1 ,9.6 ,0.0 ,1.4 ,2.8 ,131.7 ,44.3 ,0.1 ,14.7 ,13.9 ,2.7 ,9.0 ,26.1 ,31.0 ,26.7 ,0.6 ,4.4 ,45.4 ,219.0 ,21.7 ,14.6 ,37.4 ,6.3 ,22.1 ,17.9 ,20.2 ,18.6 ,41.6 ,18.3 ,20.0 ,24.2 ,262.9 ,3.6 ,14.3 ,9.6 ,3.3 ,1.8 ,0.7 ,3.2 ,9.4 ,2.9 ,6.9 ,1.4 ,27.9 ,85.1 ,28.9 ,12.2 ,6.3 ,0.4 ,3.4 ,3.8 ,30.6 ,31.6 ,33.5 ,13.4 ,17.4 ,12.3 ,193.8 ,4.0 ,27.5 ,37.6 ,17.6 ,0.0 ,0.1 ,4.3 ,7.8 ,11.1 ,1.9 ,5.6 ,32.8 ,150.3 ,5.0 ,75.2 ,29.9 ,10.5 ,7.1 ,0.0 ,9.7 ,2.7 ,3.5 ,4.2 ,39.2 ,19.8 ,206.8 ,79.6 ,57.0 ,23.0 ,30.3 ,0.0 ,0.0 ,0.4 ,2.9 ,3.9 ,29.7 ,8.9 ,61.7 ,297.4 
Baja-California-Sur,7.0 ,3.5 ,1.0 ,0.1 ,0.3 ,1.6 ,8.0 ,83.6 ,12.2 ,66.0 ,2.9 ,1.0 ,187.2 ,0.3 ,0.2 ,0.1 ,0.0 ,0.0 ,4.7 ,22.2 ,57.4 ,272.0 ,1.4 ,0.5 ,1.5 ,360.3 ,12.2 ,0.2 ,0.1 ,0.0 ,0.0 ,9.4 ,10.8 ,53.5 ,53.7 ,6.6 ,3.3 ,23.7 ,173.5 ,1.9 ,8.8 ,36.9 ,0.2 ,0.0 ,0.8 ,6.6 ,22.4 ,17.8 ,3.6 ,1.0 ,3.1 ,103.0 ,11.1 ,3.1 ,6.1 ,0.0 ,0.6 ,0.0 ,6.9 ,31.9 ,60.0 ,45.1 ,91.1 ,14.7 ,270.6 ,0.6 ,9.1 ,0.0 ,0.0 ,0.0 ,15.3 ,6.9 ,19.6 ,76.6 ,21.5 ,0.5 ,13.0 ,163.2 ,8.4 ,18.4 ,0.5 ,0.1 ,1.6 ,1.9 ,12.1 ,68.3 ,59.0 ,0.6 ,0.2 ,3.7 ,174.7 ,5.6 ,0.3 ,8.0 ,2.6 ,3.1 ,6.5 ,23.6 ,54.3 ,79.9 ,2.6 ,1.3 ,12.2 ,200.0 ,26.0 ,16.8 ,14.8 ,8.2 ,2.2 ,38.8 ,51.2 ,36.9 ,104.6 ,39.2 ,16.0 ,7.1 ,361.7 ,2.3 ,0.5 ,1.8 ,0.1 ,1.5 ,8.4 ,64.0 ,68.5 ,164.5 ,17.8 ,2.9 ,2.4 ,334.7 ,8.6 ,0.5 ,0.8 ,0.1 ,1.2 ,4.1 ,18.3 ,65.8 ,54.1 ,56.3 ,12.8 ,6.3 ,229.0 ,0.0 ,9.4 ,1.4 ,0.2 ,0.0 ,0.0 ,2.3 ,104.5 ,107.5 ,65.8 ,1.7 ,13.1 ,305.9 ,0.1 ,0.4 ,0.6 ,0.4 ,0.5 ,0.0 ,6.8 ,16.5 ,21.2 ,1.6 ,18.8 ,2.5 ,69.4 ,6.4 ,17.2 ,1.9 ,0.0 ,0.0 ,0.0 ,0.8 ,6.7 ,73.7 ,2.1 ,0.0 ,0.5 ,109.3 
Campeche,59.3 ,30.9 ,33.1 ,14.6 ,58.4 ,75.4 ,141.8 ,210.2 ,202.0 ,105.7 ,133.4 ,68.0 ,"1,132.5 ",65.0 ,57.3 ,52.3 ,79.2 ,141.3 ,180.9 ,138.1 ,199.3 ,187.8 ,127.2 ,129.9 ,65.1 ,"1,423.4 ",52.8 ,21.1 ,30.4 ,21.6 ,137.5 ,196.8 ,143.6 ,147.7 ,230.4 ,138.7 ,52.4 ,45.8 ,"1,218.7 ",31.1 ,13.4 ,4.1 ,25.9 ,207.1 ,499.1 ,137.2 ,184.8 ,234.2 ,293.1 ,99.1 ,50.3 ,"1,779.3 ",26.7 ,14.2 ,34.6 ,32.7 ,72.6 ,250.9 ,156.8 ,124.7 ,182.8 ,235.3 ,90.5 ,81.4 ,"1,303.2 ",105.7 ,19.2 ,15.5 ,120.0 ,45.8 ,160.5 ,164.1 ,241.5 ,202.1 ,160.9 ,127.2 ,27.4 ,"1,389.8 ",16.1 ,6.9 ,9.1 ,65.1 ,49.7 ,363.6 ,169.2 ,202.8 ,229.8 ,221.7 ,33.4 ,40.1 ,"1,407.3 ",50.4 ,33.8 ,33.1 ,19.3 ,61.7 ,244.9 ,180.9 ,173.3 ,202.8 ,81.7 ,53.4 ,41.8 ,"1,177.0 ",90.1 ,32.1 ,82.7 ,26.0 ,71.1 ,157.8 ,78.7 ,203.5 ,184.2 ,197.6 ,123.6 ,78.8 ,"1,326.1 ",83.3 ,27.7 ,24.3 ,45.4 ,165.6 ,209.8 ,131.1 ,206.5 ,231.1 ,189.2 ,49.1 ,27.0 ,"1,390.1 ",113.7 ,15.7 ,7.0 ,19.5 ,119.7 ,248.8 ,215.1 ,259.0 ,216.6 ,171.5 ,189.0 ,123.1 ,"1,698.5 ",24.0 ,22.7 ,29.8 ,28.2 ,106.4 ,268.8 ,176.2 ,199.7 ,174.6 ,81.0 ,4.4 ,25.4 ,"1,141.2 ",65.8 ,10.0 ,16.4 ,17.1 ,35.1 ,201.9 ,187.9 ,194.8 ,191.2 ,177.2 ,56.2 ,27.3 ,"1,180.9 ",51.3 ,10.3 ,3.6 ,29.1 ,107.4 ,327.7 ,266.0 ,279.2 ,237.5 ,56.0 ,48.0 ,9.1 ,"1,425.2 "
Coahuila,2.1 ,1.1 ,12.8 ,6.9 ,50.7 ,10.6 ,30.6 ,22.1 ,14.8 ,51.8 ,30.8 ,8.0 ,242.2 ,2.6 ,1.3 ,0.1 ,14.2 ,22.0 ,8.8 ,14.4 ,114.0 ,50.0 ,26.0 ,6.7 ,1.3 ,261.4 ,3.5 ,4.6 ,0.2 ,10.9 ,37.3 ,34.1 ,55.7 ,43.0 ,24.1 ,12.0 ,16.2 ,5.0 ,246.5 ,11.3 ,2.8 ,21.6 ,7.3 ,30.5 ,23.8 ,44.5 ,6.0 ,63.8 ,0.4 ,2.8 ,12.4 ,227.2 ,6.9 ,0.6 ,11.3 ,12.3 ,30.8 ,49.9 ,22.3 ,21.5 ,60.6 ,19.6 ,22.1 ,3.6 ,261.5 ,0.7 ,7.0 ,2.4 ,7.2 ,11.7 ,30.8 ,29.0 ,41.0 ,172.8 ,67.4 ,7.7 ,19.3 ,396.8 ,2.6 ,11.1 ,15.1 ,23.0 ,40.6 ,22.6 ,37.8 ,45.1 ,108.3 ,15.2 ,1.9 ,35.6 ,358.5 ,21.6 ,3.1 ,56.3 ,28.5 ,46.7 ,45.4 ,51.2 ,147.7 ,84.2 ,10.8 ,35.6 ,23.8 ,554.8 ,26.4 ,28.7 ,71.5 ,34.1 ,80.1 ,74.2 ,49.0 ,32.6 ,36.7 ,70.4 ,15.1 ,6.3 ,525.0 ,4.6 ,2.3 ,7.9 ,5.6 ,40.4 ,58.2 ,44.4 ,61.0 ,99.4 ,23.9 ,66.1 ,10.1 ,423.8 ,15.4 ,1.8 ,1.7 ,12.3 ,44.1 ,52.4 ,76.5 ,28.0 ,121.2 ,40.1 ,33.1 ,17.0 ,443.7 ,7.2 ,19.3 ,24.3 ,19.2 ,23.8 ,13.5 ,47.7 ,39.1 ,82.8 ,20.3 ,22.9 ,3.5 ,323.6 ,7.6 ,0.5 ,2.5 ,4.7 ,9.3 ,19.0 ,32.7 ,25.2 ,19.5 ,25.6 ,12.7 ,16.7 ,176.0 ,37.6 ,31.4 ,6.8 ,80.2 ,83.0 ,74.1 ,177.8 ,16.3 ,81.9 ,2.0 ,0.9 ,0.0 ,592.0 
Colima,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,137.3 ,269.3 ,217.4 ,170.6 ,542.1 ,20.6 ,13.1 ,"1,371.4 ",1.3 ,0.7 ,0.0 ,0.5 ,2.4 ,239.7 ,294.4 ,312.2 ,351.7 ,272.7 ,1.8 ,0.1 ,"1,477.5 ",0.7 ,0.0 ,0.0 ,0.0 ,2.5 ,691.7 ,249.6 ,705.1 ,443.7 ,187.0 ,0.2 ,0.2 ,"2,280.7 ",80.1 ,112.1 ,0.0 ,0.0 ,2.1 ,84.7 ,354.8 ,664.3 ,339.2 ,27.0 ,0.0 ,0.7 ,"1,665.1 ",5.7 ,0.1 ,0.1 ,0.0 ,3.5 ,111.2 ,310.6 ,234.1 ,851.0 ,251.8 ,46.8 ,2.1 ,"1,816.7 ",5.2 ,2.6 ,0.0 ,0.0 ,19.0 ,317.3 ,140.5 ,298.9 ,337.0 ,292.3 ,198.3 ,0.6 ,"1,611.7 ",0.0 ,2.8 ,1.2 ,0.0 ,1.7 ,197.4 ,287.4 ,560.3 ,528.0 ,142.7 ,0.1 ,7.3 ,"1,728.8 ",85.6 ,0.8 ,16.5 ,0.2 ,5.5 ,158.7 ,252.2 ,340.7 ,314.4 ,62.6 ,67.1 ,29.0 ,"1,333.2 ",1.1 ,129.1 ,306.1 ,0.7 ,25.4 ,172.6 ,207.2 ,220.4 ,240.9 ,601.9 ,14.7 ,36.7 ,"1,956.7 ",3.8 ,0.1 ,0.2 ,0.1 ,108.7 ,438.7 ,242.6 ,286.1 ,437.6 ,154.4 ,237.7 ,10.4 ,"1,920.4 ",98.0 ,0.0 ,6.6 ,0.1 ,2.8 ,124.2 ,239.1 ,300.0 ,731.1 ,124.6 ,176.5 ,74.1 ,"1,877.1 ",0.0 ,76.1 ,0.0 ,0.1 ,39.3 ,255.2 ,118.7 ,204.9 ,169.3 ,66.7 ,36.1 ,24.2 ,990.6 ,0.0 ,0.0 ,0.0 ,0.1 ,3.7 ,174.8 ,392.8 ,215.0 ,197.7 ,382.0 ,0.0 ,0.0 ,"1,366.1 ",26.7 ,191.7 ,0.0 ,0.0 ,0.1 ,83.2 ,238.7 ,356.2 ,301.1 ,3.1 ,0.0 ,0.0 ,"1,200.8 "
Chiapas,66.2 ,63.7 ,38.2 ,23.5 ,96.6 ,207.8 ,263.7 ,224.6 ,250.1 ,247.9 ,139.2 ,80.0 ,"1,701.4 ",74.5 ,78.3 ,30.3 ,84.4 ,158.4 ,305.3 ,196.0 ,283.0 ,425.7 ,188.5 ,152.2 ,77.5 ,"2,054.1 ",52.1 ,17.0 ,48.7 ,31.3 ,230.2 ,319.2 ,162.7 ,299.0 ,320.1 ,227.8 ,57.5 ,41.6 ,"1,807.2 ",28.4 ,46.9 ,21.0 ,32.4 ,239.4 ,409.1 ,182.5 ,345.9 ,373.1 ,251.8 ,199.1 ,38.3 ,"2,167.9 ",39.8 ,28.5 ,34.6 ,14.0 ,200.4 ,277.0 ,142.6 ,236.5 ,308.2 ,359.7 ,66.5 ,59.7 ,"1,767.4 ",99.6 ,20.0 ,30.1 ,101.7 ,165.2 ,237.8 ,117.8 ,257.0 ,301.0 ,224.9 ,118.4 ,31.7 ,"1,705.3 ",36.8 ,8.1 ,23.1 ,64.0 ,262.3 ,409.4 ,254.3 ,249.2 ,401.7 ,228.8 ,37.9 ,18.4 ,"1,994.0 ",33.9 ,26.6 ,30.0 ,28.9 ,143.8 ,281.9 ,177.8 ,306.7 ,314.7 ,128.0 ,91.7 ,50.2 ,"1,614.2 ",82.5 ,31.0 ,52.9 ,80.6 ,126.9 ,206.9 ,134.7 ,196.5 ,341.1 ,247.1 ,150.3 ,90.6 ,"1,741.1 ",67.3 ,19.6 ,37.9 ,93.6 ,262.3 ,348.2 ,150.0 ,225.5 ,461.7 ,291.5 ,80.1 ,18.5 ,"2,056.1 ",59.0 ,16.9 ,15.7 ,29.6 ,214.6 ,339.3 ,248.4 ,309.9 ,394.9 ,299.5 ,193.2 ,157.8 ,"2,278.9 ",53.3 ,38.6 ,58.2 ,57.8 ,181.1 ,264.0 ,211.8 ,418.1 ,321.3 ,194.4 ,29.0 ,57.7 ,"1,885.3 ",46.0 ,37.1 ,84.3 ,74.2 ,149.5 ,300.6 ,458.5 ,433.7 ,422.3 ,273.7 ,58.8 ,42.9 ,"2,381.6 ",45.1 ,17.8 ,14.8 ,70.4 ,186.4 ,507.5 ,395.1 ,756.7 ,559.5 ,58.4 ,89.9 ,28.7 ,"2,730.3 "
Chihuahua,8.5 ,12.9 ,18.9 ,1.3 ,17.7 ,10.0 ,37.8 ,56.3 ,25.0 ,24.5 ,8.4 ,3.3 ,224.5 ,0.1 ,3.8 ,0.2 ,1.7 ,0.7 ,69.6 ,83.9 ,205.6 ,60.6 ,39.0 ,1.1 ,6.3 ,472.6 ,20.6 ,9.3 ,0.7 ,3.0 ,6.8 ,61.6 ,114.2 ,105.4 ,46.1 ,7.7 ,11.2 ,24.0 ,410.6 ,6.0 ,20.2 ,27.3 ,3.3 ,6.2 ,19.5 ,82.8 ,32.4 ,49.1 ,0.1 ,1.5 ,12.4 ,260.8 ,15.2 ,13.8 ,11.5 ,1.0 ,3.5 ,26.0 ,76.1 ,99.3 ,98.5 ,41.3 ,69.0 ,15.2 ,470.3 ,0.1 ,19.2 ,1.8 ,0.9 ,4.4 ,45.9 ,97.1 ,122.4 ,110.4 ,52.0 ,3.3 ,33.1 ,490.8 ,12.3 ,8.1 ,6.1 ,3.4 ,10.4 ,20.6 ,153.3 ,122.1 ,58.8 ,14.4 ,1.7 ,42.7 ,453.8 ,5.8 ,0.5 ,7.6 ,7.1 ,11.7 ,56.8 ,110.0 ,190.8 ,85.9 ,10.3 ,6.5 ,19.3 ,512.5 ,38.2 ,29.5 ,54.9 ,20.4 ,7.2 ,83.4 ,138.5 ,97.2 ,74.1 ,47.2 ,32.6 ,7.4 ,630.5 ,1.2 ,0.6 ,11.0 ,1.2 ,1.8 ,41.2 ,116.2 ,136.4 ,132.3 ,9.1 ,32.5 ,6.6 ,490.0 ,18.5 ,1.9 ,1.1 ,0.5 ,7.6 ,52.1 ,204.9 ,99.1 ,103.0 ,33.9 ,45.9 ,49.6 ,618.2 ,2.5 ,7.4 ,3.6 ,6.5 ,5.4 ,12.2 ,133.7 ,120.7 ,104.1 ,33.4 ,20.6 ,21.4 ,471.5 ,2.9 ,0.3 ,0.0 ,0.0 ,1.1 ,11.6 ,101.0 ,76.4 ,23.9 ,9.2 ,22.0 ,12.1 ,260.5 ,32.8 ,21.1 ,1.4 ,13.0 ,4.1 ,36.9 ,180.1 ,76.3 ,100.2 ,3.7 ,0.2 ,0.2 ,470.0 
Ciudad-de-Mexico,0.4 ,0.1 ,21.8 ,10.1 ,43.2 ,28.2 ,118.1 ,97.3 ,62.9 ,37.3 ,34.2 ,4.0 ,457.7 ,3.8 ,1.6 ,5.2 ,44.0 ,19.1 ,92.3 ,114.3 ,114.4 ,78.6 ,58.6 ,11.7 ,9.5 ,553.1 ,4.7 ,0.9 ,2.6 ,12.5 ,73.3 ,153.1 ,92.1 ,126.7 ,120.4 ,49.7 ,1.3 ,0.0 ,637.1 ,11.3 ,5.3 ,8.1 ,21.9 ,32.8 ,59.7 ,103.8 ,107.8 ,97.0 ,20.1 ,1.5 ,0.5 ,469.7 ,5.3 ,5.7 ,7.2 ,4.3 ,21.6 ,108.1 ,145.5 ,87.2 ,76.1 ,86.8 ,17.6 ,0.1 ,565.3 ,7.9 ,7.7 ,12.2 ,44.5 ,59.1 ,127.4 ,85.9 ,198.2 ,120.7 ,86.8 ,31.1 ,4.8 ,786.2 ,0.0 ,0.0 ,18.1 ,12.9 ,48.9 ,86.2 ,101.7 ,101.3 ,86.8 ,31.4 ,0.6 ,0.0 ,488.0 ,6.7 ,0.8 ,27.8 ,19.0 ,51.8 ,113.0 ,131.9 ,128.4 ,113.7 ,14.6 ,45.5 ,2.7 ,655.9 ,0.3 ,2.9 ,19.5 ,8.3 ,69.6 ,74.1 ,94.1 ,79.2 ,114.3 ,20.2 ,5.4 ,4.1 ,491.8 ,0.4 ,1.4 ,10.9 ,21.8 ,60.0 ,96.4 ,99.0 ,108.2 ,98.3 ,92.6 ,7.1 ,19.6 ,615.6 ,2.2 ,1.4 ,2.3 ,15.6 ,52.8 ,107.1 ,113.8 ,130.3 ,169.7 ,64.3 ,36.1 ,2.5 ,698.0 ,6.9 ,28.2 ,26.5 ,15.1 ,16.3 ,96.0 ,160.5 ,108.4 ,83.4 ,14.9 ,12.7 ,0.0 ,568.9 ,0.1 ,0.7 ,8.1 ,39.8 ,28.0 ,129.8 ,230.5 ,158.9 ,101.9 ,62.0 ,21.9 ,0.9 ,782.6 ,25.8 ,57.3 ,1.6 ,14.9 ,27.3 ,94.3 ,203.3 ,174.5 ,93.7 ,3.7 ,1.4 ,0.1 ,697.9 
Durango,1.1 ,2.1 ,0.9 ,2.7 ,12.0 ,11.0 ,90.9 ,57.8 ,42.9 ,78.0 ,29.7 ,3.7 ,332.7 ,0.2 ,2.5 ,0.0 ,3.6 ,3.4 ,63.1 ,99.7 ,188.9 ,98.7 ,41.7 ,0.4 ,0.0 ,502.2 ,3.2 ,0.1 ,0.0 ,2.4 ,7.3 ,70.2 ,131.2 ,121.5 ,68.9 ,52.6 ,3.6 ,9.0 ,469.9 ,16.9 ,18.7 ,2.3 ,1.0 ,5.6 ,31.1 ,143.9 ,49.9 ,115.1 ,1.9 ,0.3 ,3.6 ,390.4 ,6.6 ,0.7 ,0.7 ,0.0 ,1.9 ,31.5 ,74.8 ,89.5 ,106.1 ,31.3 ,74.9 ,10.7 ,428.8 ,2.4 ,12.2 ,0.1 ,1.7 ,8.3 ,72.1 ,63.9 ,89.8 ,168.8 ,70.8 ,8.8 ,21.7 ,520.5 ,1.3 ,7.8 ,13.3 ,1.4 ,4.7 ,12.5 ,121.7 ,139.3 ,97.3 ,34.1 ,0.0 ,21.2 ,454.6 ,8.3 ,3.6 ,18.7 ,3.1 ,8.9 ,56.7 ,104.0 ,180.4 ,82.6 ,16.7 ,10.9 ,16.0 ,509.8 ,32.2 ,37.1 ,74.6 ,12.8 ,8.7 ,103.8 ,108.3 ,72.9 ,87.0 ,70.0 ,5.1 ,14.6 ,627.1 ,5.3 ,0.6 ,4.9 ,0.3 ,7.0 ,77.1 ,101.2 ,111.5 ,112.1 ,18.7 ,55.3 ,2.6 ,496.6 ,4.6 ,0.1 ,0.1 ,0.3 ,4.7 ,26.7 ,147.4 ,89.4 ,138.5 ,19.3 ,59.9 ,22.9 ,513.8 ,2.4 ,9.6 ,0.4 ,4.3 ,7.8 ,17.1 ,134.5 ,97.0 ,87.0 ,26.0 ,9.4 ,10.7 ,406.3 ,0.9 ,0.0 ,0.0 ,0.2 ,0.7 ,3.1 ,106.8 ,66.5 ,57.5 ,4.9 ,4.6 ,0.4 ,245.6 ,10.5 ,38.7 ,7.4 ,3.8 ,7.8 ,59.4 ,199.0 ,75.6 ,154.0 ,2.9 ,0.0 ,0.2 ,559.3 
